0	0.015625	0.0625	0.140625	0.25	0.390625	0.5625	0.765625
1	1.265625	1.5625	1.890625	2.25	2.640625	3.0625	3.515625
4	4.515625	5.0625	5.640625	6.25	6.890625	7.5625	8.265625
9	9.765625	10.5625	11.390625	12.25	13.140625	14.0625	15.015625
16	17.015625	18.0625	19.140625	20.25	21.390625	22.5625	23.765625
25	26.265625	27.5625	28.890625	30.25	31.640625	33.0625	34.515625
36	37.515625	39.0625	40.640625	42.25	43.890625	45.5625	47.265625
49	50.765625	52.5625	54.390625	56.25	58.140625	60.0625	62.015625
64	66.015625	68.0625	70.140625	72.25	74.390625	76.5625	78.765625
81	83.265625	85.5625	87.890625	90.25	92.640625	95.0625	97.515625
100	102.515625	105.0625	107.640625	110.25	112.890625	115.5625	118.265625
121	123.765625	126.5625	129.390625	132.25	135.140625	138.0625	141.015625
144	147.015625	150.0625	153.140625	156.25	159.390625	162.5625	165.765625
169	172.265625	175.5625	178.890625	182.25	185.640625	189.0625	192.515625
196	199.515625	203.0625	206.640625	210.25	213.890625	217.5625	221.265625
225	228.765625	232.5625	236.390625	240.25	244.140625	248.0625	252.015625
256	260.015625	264.0625	268.140625	272.25	276.390625	280.5625	284.765625
289	293.265625	297.5625	301.890625	306.25	310.640625	315.0625	319.515625
324	328.515625	333.0625	337.640625	342.25	346.890625	351.5625	356.265625
361	365.765625	370.5625	375.390625	380.25	385.140625	390.0625	395.015625
400	405.015625	410.0625	415.140625	420.25	425.390625	430.5625	435.765625
441	446.265625	451.5625	456.890625	462.25	467.640625	473.0625	478.515625
484	489.515625	495.0625	500.640625	506.25	511.890625	517.5625	523.265625
529	534.765625	540.5625	546.390625	552.25	558.140625	564.0625	570.015625
576	582.015625	588.0625	594.140625	600.25	606.390625	612.5625	618.765625
625	631.265625	637.5625	643.890625	650.25	656.640625	663.0625	669.515625
676	682.515625	689.0625	695.640625	702.25	708.890625	715.5625	722.265625
729	735.765625	742.5625	749.390625	756.25	763.140625	770.0625	777.015625
784	791.015625	798.0625	805.140625	812.25	819.390625	826.5625	833.765625
841	848.265625	855.5625	862.890625	870.25	877.640625	885.0625	892.515625
900	907.515625	915.0625	922.640625	930.25	937.890625	945.5625	953.265625
961	968.765625	976.5625	984.390625	992.25	1000.140625	1008.0625	1016.015625
1024	1032.015625	1040.0625	1048.140625	1056.25	1064.390625	1072.5625	1080.765625
1089	1097.265625	1105.5625	1113.890625	1122.25	1130.640625	1139.0625	1147.515625
1156	1164.515625	1173.0625	1181.640625	1190.25	1198.890625	1207.5625	1216.265625
1225	1233.765625	1242.5625	1251.390625	1260.25	1269.140625	1278.0625	1287.015625
